family,scaler,resample,C,penalty,solver,max_iter,random_state,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,prec_at_rec90_mean,prec_at_rec90_std,prec_at_rec99_mean,prec_at_rec99_std,is_best,shrinkage,reg_param,gamma
LR_L1,standard,smote,0.01,l1,saga,3000.0,42.0,0.8971,0.0134,0.1332,0.0749,0.0783,0.0018,0.0423,0.0039,0.0324,0.0083,False,,,
LR_L1,standard,smote,0.1,l1,saga,3000.0,42.0,0.9311,0.0121,0.2523,0.0692,0.082,0.0064,0.0507,0.0137,0.0398,0.0084,False,,,
LR_L1,standard,smote,1.0,l1,saga,3000.0,42.0,0.9342,0.0118,0.2663,0.0562,0.0827,0.0081,0.0445,0.0065,0.0383,0.0046,True,,,
LR_L1,standard,smote,10.0,l1,saga,3000.0,42.0,0.9342,0.0119,0.2691,0.0535,0.0848,0.0073,0.0441,0.0061,0.0382,0.0042,True,,,
LR_L2,standard,smote,0.01,l2,saga,3000.0,42.0,0.9046,0.0137,0.1447,0.0425,0.0812,0.0042,0.0448,0.0026,0.0376,0.0101,False,,,
LR_L2,standard,smote,0.1,l2,saga,3000.0,42.0,0.9171,0.0107,0.1986,0.0444,0.0844,0.0066,0.0484,0.0047,0.0406,0.0087,False,,,
LR_L2,standard,smote,1.0,l2,saga,3000.0,42.0,0.9326,0.0109,0.2485,0.0507,0.0807,0.0064,0.045,0.0066,0.0389,0.0051,False,,,
LR_L2,standard,smote,10.0,l2,saga,3000.0,42.0,0.9343,0.0118,0.269,0.0537,0.0828,0.0078,0.0443,0.0062,0.0384,0.0042,True,,,
LDA,standard,smote,,,lsqr,,,0.9078,0.0128,0.1447,0.0523,0.0813,0.0025,0.0461,0.0033,0.0401,0.0075,True,auto,,
QDA,standard,smote,,,,,,,,,,,,,,,,False,,0.0,
QDA,standard,smote,,,,,,0.9344,0.0175,0.3526,0.1026,0.0716,0.0021,0.0479,0.0058,0.0331,0.0045,True,,0.01,
QDA,standard,smote,,,,,,0.9232,0.019,0.269,0.1351,0.0598,0.0034,0.0487,0.0048,0.0352,0.0101,False,,0.1,
SVM_linear,standard,none,0.1,,,,,0.8962,0.0165,0.2747,0.0838,0.075,0.1,0.0403,0.0018,0.0327,0.0105,False,,,
SVM_linear,standard,none,1.0,,,,,0.9035,0.0204,0.3108,0.1054,0.0,0.0,0.0383,0.0053,0.0327,0.0099,False,,,
SVM_linear,standard,none,10.0,,,,,0.9074,0.0225,0.3434,0.1094,0.0,0.0,0.0374,0.0103,0.0301,0.0118,True,,,
SVM_RBF,standard,none,0.1,,,,,0.852,0.0227,0.1023,0.0653,0.0,0.0,0.0321,0.0101,0.024,0.0087,False,,,0.001
SVM_RBF,standard,none,0.1,,,,,0.8859,0.0154,0.1137,0.0683,0.1033,0.0945,0.042,0.0014,0.0351,0.0081,False,,,0.01
SVM_RBF,standard,none,0.1,,,,,0.9255,0.0144,0.0682,0.0119,0.0,0.0,0.0593,0.0189,0.0448,0.0063,False,,,0.1
SVM_RBF,standard,none,1.0,,,,,0.8735,0.0168,0.1058,0.0647,0.0961,0.0856,0.0365,0.0116,0.0272,0.0084,False,,,0.001
SVM_RBF,standard,none,1.0,,,,,0.9161,0.0131,0.2009,0.0636,0.0,0.0,0.0463,0.0037,0.0415,0.0055,False,,,0.01
SVM_RBF,standard,none,1.0,,,,,0.9273,0.0087,0.0702,0.006,0.0,0.0,0.0513,0.0036,0.0469,0.0035,False,,,0.1
SVM_RBF,standard,none,10.0,,,,,0.8935,0.0115,0.1353,0.0477,0.0533,0.0653,0.0427,0.0011,0.037,0.0068,False,,,0.001
SVM_RBF,standard,none,10.0,,,,,0.9278,0.0145,0.1317,0.0576,0.0,0.0,0.055,0.0126,0.0556,0.0148,False,,,0.01
SVM_RBF,standard,none,10.0,,,,,0.9297,0.0116,0.089,0.0151,0.0,0.0,0.0537,0.0135,0.0391,0.0136,True,,,0.1
