변수,이상치_수,이상치_비율(%),IQR_하한,IQR_상한,이상치_내_불량률(%),정상_내_불량률(%)
Cycle_Time,1568,19.61,59.46,59.62,3.32,0.3
Plasticizing_Position,1393,17.42,67.89,68.85,2.58,0.53
Barrel_Temperature_6,1374,17.18,229.45,230.65,2.62,0.53
Barrel_Temperature_5,1336,16.71,254.15,256.15,2.47,0.57
Max_Injection_Speed,1334,16.68,53.85,57.45,4.35,0.2
Barrel_Temperature_1,1324,16.56,274.85,277.65,2.42,0.58
Clamp_Close_Time,1324,16.56,7.095,7.135,3.17,0.43
Injection_Time,1322,16.53,9.415,9.695,3.93,0.28
Filling_Time,1322,16.53,4.295,4.575,3.93,0.28
Max_Switch_Over_Pressure,1320,16.51,135.05,137.85,3.64,0.34
Max_Back_Pressure,1318,16.48,36.65,39.45,3.64,0.34
Barrel_Temperature_3,1308,16.36,274.15,276.15,2.45,0.58
Plasticizing_Time,1304,16.31,16.115,17.355,2.45,0.58
Cushion_Position,1304,16.31,653.4,653.48,3.07,0.46
Clamp_Open_Position,1296,16.21,647.99,647.99,2.47,0.58
Barrel_Temperature_2,1296,16.21,273.95,276.75,2.47,0.58
Barrel_Temperature_4,1292,16.16,267.4,273.8,2.48,0.58
Average_Back_Pressure,932,11.66,58.65,60.65,3.54,0.54
Mold_Temperature_4,377,4.71,20.45,26.45,4.51,0.71
Max_Injection_Pressure,374,4.68,141.2,142.8,7.75,0.55
Mold_Temperature_3,74,0.93,19.15,25.15,4.05,0.86
Max_Screw_RPM,68,0.85,30.3,31.1,5.88,0.85
Hopper_Temperature,40,0.5,62.1,70.9,0.0,0.89
Switch_Over_Position,6,0.08,0.0,0.0,0.0,0.89
Average_Screw_RPM,0,0.0,-365.6,687.2,0.0,0.89
