변수,Point-biserial_r,p값,절대값_r
Max_Back_Pressure,0.1152,0.0,0.1152
Cycle_Time,0.1049,0.0,0.1049
Average_Screw_RPM,0.0791,0.0,0.0791
Average_Back_Pressure,0.0789,0.0,0.0789
Barrel_Temperature_5,0.0772,0.0,0.0772
Plasticizing_Time,-0.0755,0.0,0.0755
Clamp_Open_Position,-0.0746,0.0,0.0746
Plasticizing_Position,-0.0729,0.0,0.0729
Barrel_Temperature_3,0.0729,0.0,0.0729
Barrel_Temperature_6,0.0689,0.0,0.0689
Barrel_Temperature_2,0.0689,0.0,0.0689
Max_Injection_Speed,0.0684,0.0,0.0684
Injection_Time,-0.0636,0.0,0.0636
Barrel_Temperature_4,0.0605,0.0,0.0605
Clamp_Close_Time,-0.0546,1e-06,0.0546
Max_Switch_Over_Pressure,-0.0528,2e-06,0.0528
Max_Screw_RPM,0.0524,3e-06,0.0524
Mold_Temperature_4,0.0479,1.9e-05,0.0479
Barrel_Temperature_1,0.0472,2.4e-05,0.0472
Filling_Time,-0.045,5.7e-05,0.045
Max_Injection_Pressure,0.0395,0.000416,0.0395
Hopper_Temperature,-0.0357,0.001418,0.0357
Mold_Temperature_3,0.0334,0.002828,0.0334
Cushion_Position,0.0037,0.741791,0.0037
Switch_Over_Position,-0.0021,0.848717,0.0021
