variable,mean,std,min,max,n_unique,drop_flag
PART_FACT_SERIAL,11.248749374687344,5.0051910200746095,2.0,24.0,17,False
PassOrFail,0.00887943971985993,0.0938173546445782,0.0,1.0,2,False
Injection_Time,8.242188637616815,3.107723917774167,1.0499999523162842,16.309999465942383,36,False
Filling_Time,3.896309353936726,1.2844505739012817,0.9300000071525574,8.270000457763672,35,False
Plasticizing_Time,16.209504740902517,1.4437198935688869,10.920000076293944,21.1200008392334,121,False
Cycle_Time,59.90090185406805,0.8856796554610286,58.84000015258789,66.86000061035156,48,False
Clamp_Close_Time,7.064088279572411,0.13659487874333084,5.159999847412109,7.179999828338623,13,False
Cushion_Position,653.4081954521915,10.165106085206785,11.100000381469728,655.0800170898438,22,False
Switch_Over_Position,0.33032015885872623,14.65488888404155,0.0,655.3099975585938,3,False
Plasticizing_Position,66.05448440362836,5.418232897992969,53.54999923706055,68.86000061035156,49,False
Clamp_Open_Position,544.2441113945721,236.3514038622264,4.630000114440918,883.7000122070312,5,False
Max_Injection_Speed,66.92361192001945,26.46018551020695,22.299999237060547,128.5,55,False
Max_Screw_RPM,30.701988530075507,0.15917938213278612,27.100000381469727,31.200000762939453,11,False
Average_Screw_RPM,149.0234243265088,130.82878092926876,25.5,293.8999938964844,16,False
Max_Injection_Pressure,142.18796969056427,1.9510628510863313,134.8000030517578,183.1999969482422,35,False
Max_Switch_Over_Pressure,133.35757888442816,7.3554017777719745,109.6999969482422,146.6999969482422,69,False
Max_Back_Pressure,40.70665340527348,6.878994508529232,2.799999952316284,75.19999694824219,68,False
Average_Back_Pressure,59.579339749935926,3.4030999392307697,13.300000190734863,90.8000030517578,53,False
Barrel_Temperature_1,277.4570159683113,6.10163126209946,0.0,287.1000061035156,67,False
Barrel_Temperature_2,276.70601482305483,4.088561110674025,244.8000030517578,286.5,60,False
Barrel_Temperature_3,276.4431215394074,4.099543326590736,245.0,285.79998779296875,45,False
Barrel_Temperature_4,271.07538808543063,2.6759559187560518,239.6000061035156,276.79998779296875,79,False
Barrel_Temperature_5,256.5074034323986,3.8375889387754456,235.3000030517578,270.3999938964844,56,False
Barrel_Temperature_6,230.76329475047888,1.9453834846767042,220.0,264.29998779296875,37,False
Barrel_Temperature_7,0.009104552657798626,0.5756424923619874,0.0,36.400001525878906,2,True
Hopper_Temperature,66.45874180633942,2.577197821067964,0.0,70.5999984741211,94,False
Mold_Temperature_1,0.0,0.0,0.0,0.0,1,True
Mold_Temperature_2,0.0,0.0,0.0,0.0,1,True
Mold_Temperature_3,22.14526013483579,1.1774677547622137,0.0,25.299999237060547,56,False
Mold_Temperature_4,23.522573805976474,1.3565856941578625,0.0,27.799999237060547,55,False
Mold_Temperature_5,0.0,0.0,0.0,0.0,1,True
Mold_Temperature_6,0.0,0.0,0.0,0.0,1,True
Mold_Temperature_7,0.0,0.0,0.0,0.0,1,True
Mold_Temperature_8,0.0,0.0,0.0,0.0,1,True
Mold_Temperature_9,0.0,0.0,0.0,0.0,1,True
Mold_Temperature_10,0.0,0.0,0.0,0.0,1,True
Mold_Temperature_11,0.0,0.0,0.0,0.0,1,True
Mold_Temperature_12,0.0,0.0,0.0,0.0,1,True
