family,n_estimators,max_depth,class_weight,random_state,n_jobs,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,prec_at_rec90_mean,prec_at_rec90_std,prec_at_rec99_mean,prec_at_rec99_std,is_best,learning_rate,hidden_dims,dropout,epochs,lr
RandomForest,100.0,,balanced,42.0,-1.0,0.9156,0.0312,0.4306,0.0883,0.3723,0.1048,0.0382,0.0246,0.0171,0.0163,False,,,,,
RandomForest,100.0,10.0,balanced,42.0,-1.0,0.9426,0.0144,0.4179,0.1197,0.2201,0.0373,0.0531,0.0121,0.0443,0.0105,False,,,,,
RandomForest,300.0,,balanced,42.0,-1.0,0.9296,0.0316,0.4479,0.1113,0.3769,0.0998,0.0414,0.0193,0.0289,0.0169,False,,,,,
RandomForest,300.0,10.0,balanced,42.0,-1.0,0.9441,0.0141,0.4214,0.1216,0.2182,0.0351,0.0537,0.0131,0.0496,0.0096,False,,,,,
RandomForest,500.0,,balanced,42.0,-1.0,0.9478,0.0123,0.4481,0.1121,0.3723,0.1048,0.05,0.0061,0.045,0.0054,True,,,,,
RandomForest,500.0,10.0,balanced,42.0,-1.0,0.9436,0.0135,0.4223,0.122,0.2165,0.0354,0.0543,0.0146,0.0474,0.0086,False,,,,,
GradientBoosting,100.0,3.0,,42.0,,0.9292,0.022,0.4395,0.1161,0.171,0.026,0.0476,0.0104,0.0289,0.0114,False,0.05,,,,
GradientBoosting,100.0,5.0,,42.0,,0.9397,0.0226,0.4439,0.1262,0.3116,0.0274,0.0517,0.0147,0.0474,0.0122,True,0.05,,,,
GradientBoosting,100.0,3.0,,42.0,,0.9226,0.0327,0.4498,0.1304,0.2612,0.0414,0.0417,0.0126,0.0287,0.0169,False,0.1,,,,
GradientBoosting,100.0,5.0,,42.0,,0.9257,0.0327,0.4435,0.1306,0.373,0.108,0.0489,0.0218,0.0298,0.0136,False,0.1,,,,
GradientBoosting,200.0,3.0,,42.0,,0.92,0.0348,0.4446,0.1297,0.2554,0.0392,0.044,0.0129,0.0273,0.0162,False,0.05,,,,
GradientBoosting,200.0,5.0,,42.0,,0.9271,0.0351,0.4422,0.1318,0.3708,0.1103,0.0493,0.0223,0.0311,0.0151,False,0.05,,,,
GradientBoosting,200.0,3.0,,42.0,,0.9138,0.0413,0.4417,0.1344,0.3918,0.0795,0.04,0.018,0.0264,0.0176,False,0.1,,,,
GradientBoosting,200.0,5.0,,42.0,,0.8959,0.0584,0.4419,0.1319,0.376,0.1126,0.0428,0.0258,0.0199,0.0147,False,0.1,,,,
MLP_PyTorch,,,,,,0.9321,0.0148,0.3914,0.1072,0.0824,0.0055,0.044,0.002,0.0443,0.0018,False,,"(64,)",0.3,30.0,0.001
MLP_PyTorch,,,,,,0.946,0.0147,0.4347,0.1153,0.1369,0.0132,0.0548,0.0074,0.0501,0.0081,False,,"(128, 64)",0.3,30.0,0.001
MLP_PyTorch,,,,,,0.9497,0.0166,0.471,0.0968,0.1521,0.0215,0.0612,0.0192,0.053,0.0136,True,,"(256, 128, 64)",0.3,30.0,0.001
Guidebook_DNN,,,,,,0.9468,0.0164,0.4655,0.1269,0.2067,0.0311,0.0535,0.0144,0.0518,0.01,True,,"(128, 64, 32)",0.0,50.0,0.001
AdaBoost,50.0,,,42.0,,0.8953,0.0262,0.2566,0.1191,0.0816,0.008,0.0312,0.0011,0.0225,0.0113,,0.5,,,,
AdaBoost,50.0,,,42.0,,0.8692,0.03,0.1777,0.0914,0.0604,0.02,0.0306,0.0012,0.0272,0.0048,,1.0,,,,
AdaBoost,100.0,,,42.0,,0.8953,0.0262,0.2566,0.1191,0.0816,0.008,0.0312,0.0011,0.0225,0.0113,,0.5,,,,
AdaBoost,100.0,,,42.0,,0.8692,0.03,0.1777,0.0914,0.0604,0.02,0.0306,0.0012,0.0272,0.0048,,1.0,,,,
AdaBoost,200.0,,,42.0,,0.8953,0.0262,0.2566,0.1191,0.0816,0.008,0.0312,0.0011,0.0225,0.0113,,0.5,,,,
AdaBoost,200.0,,,42.0,,0.8692,0.03,0.1777,0.0914,0.0604,0.02,0.0306,0.0012,0.0272,0.0048,,1.0,,,,
