,ROC-AUC,PR-AUC
Elliptic Envelope (labeled normal),0.8938188119251789,0.139710155423997
[ref] OC-SVM Phase7 (labeled normal),0.8814,0.1765
COPOD,0.8793202114897587,0.10421999326289727
Isolation Forest,0.5292584529257565,0.03572117813595553
HBOS,0.4776389567690052,0.03616101278533072
"K-Means (k=20, filtered)",0.47572488559114945,0.03826927509616983
OC-SVM (unlabeled),0.45930332785355665,0.13269329166919866
LOF (novelty),0.38266583729506376,0.020578422164612583
KNN distance,0.3684675878615542,0.030453974090895786
GMM (k=5),0.30808815035322346,0.006798911226662485
