scaler,resample,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,prec_at_rec90_mean,prec_at_rec90_std,n_train_after_resample
standard,none,0.9076,0.0159,0.2666,0.1145,0.2845,0.1078,0.0429,0.006,6396
robust,undersample,0.8886,0.034,0.2541,0.0682,0.042,0.0023,0.0336,0.0139,6396
standard,smote,0.9311,0.0107,0.2413,0.0554,0.0808,0.006,0.0454,0.0058,6396
standard,class_weight,0.9261,0.0107,0.2316,0.0608,0.0808,0.0046,0.0473,0.0072,6396
robust,smote,0.7626,0.0793,0.2293,0.0685,0.0267,0.0022,0.0126,0.0049,6396
standard,adasyn,0.9155,0.0292,0.207,0.0462,0.0783,0.0055,0.0421,0.0083,6396
robust,class_weight,0.7342,0.0816,0.1988,0.0648,0.0251,0.0021,0.0109,0.0029,6396
standard,undersample,0.9064,0.0139,0.1616,0.04,0.0808,0.0044,0.0448,0.0046,6396
robust,adasyn,0.7777,0.0687,0.1584,0.071,0.03,0.003,0.0134,0.0063,6396
robust,none,0.3406,0.0843,0.1271,0.0468,0.2694,0.0975,0.0088,0.0004,6396
